Libraries bundled in BioAcq.app/Contents/Frameworks besides Qt and BrainFlow.
macdeployqt copied them from Homebrew as dependencies of Homebrew's Qt. Each formula's licence files
are in the folder of the same name; the licence column is Homebrew's SPDX expression.

library                          formula              version        licence
libb2.1.dylib                    libb2                0.98.1         CC0-1.0
libbrotlicommon.1.dylib          brotli               1.2.0          MIT
libbrotlidec.1.dylib             brotli               1.2.0          MIT
libcrypto.3.dylib                openssl@3            3.6.3          Apache-2.0
libdbus-1.3.dylib                dbus                 1.16.2_1       AFL-2.1 OR GPL-2.0-or-later
libdouble-conversion.3.dylib     double-conversion    3.4.0          BSD-3-Clause
libfreetype.6.dylib              freetype             2.14.3         FTL
libglib-2.0.0.dylib              glib                 2.88.2         LGPL-2.1-or-later
libgraphite2.3.dylib             graphite2            1.3.15         MIT OR MPL-2.0 OR LGPL-2.1-or-later OR GPL-2.0-or-later
libgthread-2.0.0.dylib           glib                 2.88.2         LGPL-2.1-or-later
libharfbuzz.0.dylib              harfbuzz             14.2.1         MIT
libicudata.78.dylib              icu4c@78             78.3           Unicode-3.0
libicui18n.78.dylib              icu4c@78             78.3           Unicode-3.0
libicuuc.78.dylib                icu4c@78             78.3           Unicode-3.0
libintl.8.dylib                  gettext              1.0            GPL-3.0-or-later AND LGPL-2.1-or-later
libmd4c.0.dylib                  md4c                 0.5.2          MIT
libpcre2-16.0.dylib              pcre2                10.47_1        BSD-3-Clause
libpcre2-8.0.dylib               pcre2                10.47_1        BSD-3-Clause
libpng16.16.dylib                libpng               1.6.58         libpng-2.0
libssl.3.dylib                   openssl@3            3.6.3          Apache-2.0
libzstd.1.dylib                  zstd                 1.5.7_1        (BSD-3-Clause OR GPL-2.0-only) AND BSD-2-Clause AND MIT
